TimeStamp,Date,CountyName,Province,PopulationCensus16,ConfirmedCovidCases,NewCases,3DayAvg,7DayAvg
1585008000000,24/03/2020,Louth,Leinster,128884,20,2,2,3
1585008000000,24/03/2020,Mayo,Connacht,130507,14,5,3,2
1585008000000,24/03/2020,Meath,Leinster,195044,27,3,5,4
1585008000000,24/03/2020,Monaghan,Ulster,61386,3,0,0,0
1585008000000,24/03/2020,Offaly,Leinster,77961,16,3,2,2
1585008000000,24/03/2020,Roscommon,Connacht,64544,5,2,1,1
1585008000000,24/03/2020,Sligo,Connacht,65535,8,0,0,1
1585008000000,24/03/2020,Tipperary,Munster,159553,27,7,2,4
1585008000000,24/03/2020,Waterford,Munster,116176,22,7,4,3
1585008000000,24/03/2020,Westmeath,Leinster,88770,29,4,3,4
1585008000000,24/03/2020,Wexford,Leinster,149722,8,1,2,1
1585008000000,24/03/2020,Wicklow,Leinster,142425,49,10,9,7
1585094400000,25/03/2020,Carlow,Leinster,56932,3,0,0,0
1585094400000,25/03/2020,Cavan,Ulster,76176,9,3,1,1
1585094400000,25/03/2020,Clare,Munster,118817,26,1,5,4
1585094400000,25/03/2020,Cork,Munster,542868,171,17,16,24
1585094400000,25/03/2020,Donegal,Ulster,159192,15,3,1,2
1585094400000,25/03/2020,Dublin,Leinster,1347359,922,148,129,132
1585094400000,25/03/2020,Galway,Connacht,258058,57,12,7,8
1585094400000,25/03/2020,Kerry,Munster,147707,44,6,10,6
1585094400000,25/03/2020,Kildare,Leinster,222504,45,6,7,6
1585094400000,25/03/2020,Kilkenny,Leinster,99232,20,1,1,3
1585094400000,25/03/2020,Laois,Leinster,84697,10,1,1,1
1585094400000,25/03/2020,Leitrim,Connacht,32044,3,0,0,0
1585094400000,25/03/2020,Limerick,Munster,194899,36,12,6,5
1585094400000,25/03/2020,Longford,Leinster,40873,5,2,1,1
1585094400000,25/03/2020,Louth,Leinster,128884,24,4,3,3
1585094400000,25/03/2020,Mayo,Connacht,130507,18,4,3,3
1585094400000,25/03/2020,Meath,Leinster,195044,33,6,6,5
1585094400000,25/03/2020,Monaghan,Ulster,61386,5,2,1,1
